source,native,name,p_value,significant,intersection_size,term_size,query_size,effective_domain_size,precision,recall,intersections
REAC,REAC:R-HSA-9701190,Defective homologous recombination repair (HRR) due to BRCA2 loss of function,3.4507225476025728e-9,true,5,41,11,11056,0.45454545454545453,0.12195121951219512,;REAC;REAC;;;REAC;REAC;REAC;;;
GO:BP,GO:0010972,negative regulation of G2/M transition of mitotic cell cycle,3.6132129663443414e-9,true,5,69,11,20972,0.45454545454545453,0.07246376811594203,";IMP;IDA;IDA,IMP,IBA;;IMP,IBA,NAS,IEA;;;IMP;;"
GO:BP,GO:1902750,negative regulation of cell cycle G2/M phase transition,4.1002573832031725e-9,true,5,71,11,20972,0.45454545454545453,0.07042253521126761,";IMP;IDA;IDA,IMP,IBA;;IMP,IBA,NAS,IEA;;;IMP;;"
GO:BP,GO:2000001,regulation of DNA damage checkpoint,8.277318141741616e-9,true,4,23,11,20972,0.36363636363636365,0.17391304347826086,;;;;IEA;NAS;NAS;NAS;;;
REAC,REAC:R-HSA-9675135,Diseases of DNA repair,9.109134432820094e-9,true,5,50,11,11056,0.45454545454545453,0.1,;REAC;REAC;;;REAC;REAC;REAC;;;
GO:BP,GO:0072332,intrinsic apoptotic signaling pathway by p53 class mediator,9.319336471950034e-9,true,5,84,11,20972,0.45454545454545453,0.05952380952380952,"IDA,IMP,IEA;;;;IEA;;IEA;;IEA;;IMP"
GO:BP,GO:0035556,intracellular signal transduction,9.727202021174442e-9,true,11,2963,11,20972,1,0.003712453594330071,"IDA,IMP,IEP,ISS,TAS,IEA;IDA,IMP,IBA,TAS,IEA;IDA,IMP,IBA;IDA,IMP,IBA,TAS,IEA;IDA,IMP,IBA,TAS,IEA;IDA,IMP,IBA,NAS,IEA;NAS,IEA;NAS;IDA,IMP,IEP,TAS,IEA;IDA,IMP;IDA,IMP,TAS"
GO:BP,GO:1902531,regulation of intracellular signal transduction,1.0064317601513752e-8,true,10,1945,11,20972,0.9090909090909091,0.005141388174807198,"IMP,ISS,IEA;IMP,IBA,TAS,IEA;IMP;TAS;TAS,IEA;IMP,NAS;NAS;NAS;;IDA;IDA,IMP,TAS"
GO:BP,GO:0010165,response to X-ray,1.2947965991654003e-8,true,4,26,11,20972,0.36363636363636365,0.15384615384615385,IEA;IDA;;;;;IEA;IEA;;;
REAC,REAC:R-HSA-5693567,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),1.5311326352092705e-8,true,6,134,11,11056,0.5454545454545454,0.04477611940298507,;REAC;REAC;REAC;;REAC;REAC;REAC;;;
